"","EIN","ACCPER","ACTIV1","ACTIV2","ACTIV3","ADDRESS","AFCD","ASS_BOY","ASS_EOY","BOND_BOY","BOND_EOY","CENSUSTRACT","CITY","CLASSCD","COMPENS","COMPENSP","CONT","CONTACT","CONTP","DEDUCTCD","DIREXP","EOSTATUS","EPOSTCARD","EXPS","EXPSP","FILENAME","FIPS","FISYR","FISYRP","FNDNCD","FRCD","FUNDBAL","FUNDFEES","FUNDFEESP","FUNDINC","FUNDINCP","GFTGRNTSRCVD170","GOODS","GRPROF","GRPROFP","GRREC","GRRECMEM","GRRECOTH","GRRECPUB","GRSINC170","GRSINCFNDRSNG","GRSINCGAMING","GRSRCPTSADMISSN509","GRSRCPTSRELATED170","GRSRNTSPRSNL","GRSRNTSREAL","INITFEES","INPRIOR","INPRIORSRC","INVENTG","INVINC","INVINCP","LATITUDE","LESSDIRFNDRSNG","LESSDIRGAMING","LEVEL1","LEVEL2","LEVEL3","LEVEL4","LIAB_BOY","LIAB_EOY","LONGITUDE","MAJGRPB","MANUALLY_FIXED","MRTG_BOY","MRTG_EOY","MSA_NECH","NAICS","NAME","NCCSKEY","NCCSKEY2","NETA_BOY","NETGNLS","NETINC","NETINCFNDRSNG","NETINCGAMING","NETINCP","NETRENT","NETRENTP","NTEE1","NTEECC","NTEEFINAL","NTEEFINAL1","NTEEIRS","NTEESRC","NTMAJ10","NTMAJ12","NTMAJ5","ORGCD","OTHCHGS","OTHINC","OTHINCP","OTHSAL","OTHSALP","OUTNCCS","OUTREAS","PAYTAX","PAYTAXP","PMSA","PROGREV","PROGREVP","Q78A","RANDNUM","REASON","RENTEXP","RENTINC","RETEARN","RETE_BOY","RNTLEXPNSPRSNL","RNTLEXPNSREAL","RNTLINCPRSNL","RNTLINCREAL","ROYALTSINC","RULEDATE","SALEOTHE","SALEOTHG","SALEOTHN","SALEOTHNP","SALESECN","SALESECNP","SALESEXP","SECUR","SEC_NAME","SOIYR","SOURCE","SPEVTG","SRVCSVAL170","SRVCSVAL509","STATE","STYEAR","SUBCD","SUBSECCD","SUBTOTSUPPINC509","TAXPER","TAXPERP","TOTGFTGRNTRCVD509","TOTREV","TOTREV2","TOTREVP","TOTSUPP509","TXEXMPTBNDSPROCEEDS","TXREVNUELEVIED170","TXREVNUELEVIED509","UNSECUREDNOTESEND","VALIDATION_STATE","ZIP","ZIP5","full_address","lat","long"
"11","020676746","06","000","000","000","PO BOX 9271",3,136720,174654,0,0,8101002801,"PUEBLO",10,67450,67065,0,"THERESA JIMISON",0,1,0,"01",0,178204,197823,"020676746_201806_990O",8101,2018,2017,15,"010",172037,0,0,0,0,506106,0,0,0,216130,0,0,NA,72,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,22,56,38.2188,0,0,"PC","O","HE","E",2609,2617,-104.6594,"E",NA,0,0,NA,541618,"SOUTHERN COLORADO RETAC INC","020676746201806","0206767462018",134111,0,37926,0,0,8948,0,0,"E","E02","E02","E","E02","IRS","HE","HE","HE",1,NA,0,0,0,0,"IN",NA,5160,5130,NA,216108,206715,"N",0.782018581455287,"07",0,0,0,0,0,0,0,0,0,200312,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",0,0,0,"CO",20179,"3","3",0,201806,201706,0,216130,216130,206771,0,0,0,0,0,0,"81008-9271","81008","PO BOX 9271,PUEBLO,CO,81008-9271",NA,NA
"12","020715210","06","000","000","000","2885 SANFORD AVE SW 40754",3,182819,188695,0,0,8031001701,"GRANDVILLE",12,0,0,273856,"LAUREN RUOTOLO PRESIDENT",198755,1,0,"01",0,268014,156842,"020715210_201806_990O",8031,2018,2017,15,"010",188695,0,0,0,0,0,0,0,0,273890,0,0,NA,0,0,0,9203,0,0,0,0,1,"18eoextract990.xlsx",0,34,20,39.752662,0,0,"PC","O","HE","G",0,0,-105.001956,"G",NA,0,0,NA,813212,"FIBROUS DYSPLASIA FOUNDATION INC","020715210201806","0207152102018",182819,0,5876,0,0,51136,0,0,"G","G51","G51","G","G99","BEST","HE","HE","HE",1,NA,0,0,51549,80879,"IN",NA,4513,6780,NA,0,9203,"N",0.453838896676074,"09",0,0,0,0,0,0,0,0,0,200510,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",0,0,0,"MI",20179,"3","3",591,201806,201712,627677,273890,273890,207978,637471,0,0,0,0,0,"49418-1342","49418","2885 SANFORD AVE SW 40754,GRANDVILLE,MI,49418-1342",NA,NA
"13","020732220","12","000","000","000","5250 LEETSDALE DR STE 110",3,407509,381650,0,0,NA,"DENVER",21,105600,105200,190184,"ALOK SARWAL",353013,1,0,"01",0,635907,615975,"020732220_201812_990O",8031,2018,2017,15,"010",204774,0,0,0,0,1367659,0,0,0,636831,0,0,NA,5470,0,0,0,828910,0,0,0,1,"18eoextract990.xlsx",0,3959,12,39.7086,0,0,"PC","O","ED","B",205950,176876,-104.9295,"B",NA,0,0,NA,813219,"COLORADO ALLIANCE FOR HEALTH EQUITY AND PRACTICE","020732220201812","0207322202018",201559,0,924,0,0,-58733,0,0,"B","B19","B19","B","E70","BEST","ED","ED","ED",1,NA,0,0,124671,75157,"IN",NA,17918,23988,NA,442688,204217,"N",0.401239211104855,"07",0,0,0,0,0,0,0,0,0,200505,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,0,636831,636831,557242,0,0,0,0,113306,0,"80246-1450","80246","5250 LEETSDALE DR STE 110,DENVER,CO,80246-1450",NA,NA
"14","020744032","12","000","000","000","600 17TH ST STE 2515S",3,360665,337781,0,0,8031001702,"DENVER",20,88960,108960,201921,"STEVEN W FARBER",176790,1,22663,"01",0,303441,438804,"020744032_201812_990O",8031,2018,2017,15,"010",331901,0,0,83943,70471,0,0,0,0,310074,0,0,NA,0,106606,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,1547,819,39.7441,22663,0,"PC","O","HE","G",12734,5880,-104.9885,"G",NA,0,0,NA,813212,"TRANSPLANT FOUNDATION INC","020744032201812","0207440322018",347931,0,-16030,83943,0,-190724,0,0,"G","G9B","G9B","G","E60","BEST","HE","HE","HE",1,NA,0,0,59942,74956,"IN",NA,11393,14221,NA,0,0,"N",0.481296141929984,"09",0,0,331901,347931,0,0,0,0,0,200509,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",106606,0,0,"CO",20180,"3","3",3569,201812,201712,792023,287411,287411,248080,795592,0,0,0,0,0,"80202-5409","80202","600 17TH ST STE 2515S,DENVER,CO,80202-5409",NA,NA
"15","020758897","06","000","000","000","PO BOX 1620",3,623864,748206,0,0,8005007400,"DENVER",21,91575,92575,1073941,NA,1015952,1,0,"01",0,942944,1337208,"020758897_201806_990O",8031,2018,2017,15,"010",728664,0,0,0,0,6786147,0,0,0,1075028,0,0,NA,10240,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,327,360,39.7263,0,0,"PC","O","HS","N",27284,19542,-104.8568,"N",NA,0,0,NA,713990,"COLORADO CIVIC ENGAGEMENT ROUNDTABLE","020758897201806","0207588972018",596580,0,132084,0,0,-320896,0,0,"N","N52","N52","N","R26","WORD","HU","HU","HU",1,NA,0,0,195742,181404,"IN",NA,54036,21976,NA,760,0,"N",0.00267840996078871,"07",0,0,0,0,0,0,0,0,0,200605,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",0,0,0,"CO",20179,"3","3",0,201806,201706,0,1075028,1075028,1016312,0,0,0,0,0,0,"80201-1620","80201","PO BOX 1620,DENVER,CO,80201-1620",NA,NA
"16","020804773","08","000","000","000","1106 COLUMBINE ST",3,157169,207933,0,0,8031003702,"DENVER",20,45333,47500,444579,"RODNEY I ALLISON",433251,1,35045,"01",0,376739,398143,"020804773_201808_990O",8031,2018,2017,15,"010",205808,0,0,-19945,-19904,1757595,0,0,0,461029,0,0,NA,0,15100,0,0,113314,0,0,0,1,"18eoextract990.xlsx",0,0,0,39.7338,35045,0,"PC","O","HS","N",606,2125,-104.9574,"N",NA,0,0,NA,611620,"DENVER CITY LAX","020804773201808","0208047732018",156563,0,49245,-19945,0,17979,0,0,"N","N40","N40","N","N40","IRS","HU","HU","HU",1,NA,1350,2775,50209,35333,"IN",NA,7307,6338,NA,0,0,"N",0.920338685524346,"07",0,0,0,0,0,0,0,0,0,200806,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",15100,0,0,"CO",20179,"3","3",0,201808,201708,0,425984,425984,416122,0,0,0,0,0,0,"80206-3107","80206","1106 COLUMBINE ST,DENVER,CO,80206-3107",39.7338938367347,-104.957345142857
"17","030368193","12","000","000","000","7B AVENIDA VISTA GRANDE PMB 4287",3,126537,130128,0,0,9009140900,"SANTA FE",10,0,0,38029,"LES ISHIKAWA TREASURER",86837,1,71192,"01",0,41814,131112,"030368193_201812_990EZ",8069,2018,2017,15,"010",129968,0,0,0,56926,266535,0,0,0,117793,NA,NA,0,4327,76837,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,1542,844,41.3152,0,0,"PC","O","AR","A",617,160,-72.9519,"A",NA,0,0,NA,710000,"ANDEAN TEXTILE ARTS INC","030368193201812","0303681932018",125920,246,4048,5645,0,15438,0,0,"A","A23","A23","A","A20","BEST","AR","AR","AR",1,0,0,0,0,0,"IN",NA,0,0,NA,400,1399,"N",0.400684208811124,"7",0,0,NA,125920,0,0,0,0,0,200109,493,739,246,0,0,544,0,NA,NA,20180,"19eoextractez.xlsx",76837,0,0,"NM",20180,"3","3",0,201812,201712,0,45862,45862,146550,0,0,0,0,0,0,"87508-9207","87508","7B AVENIDA VISTA GRANDE PMB 4287,SANTA FE,NM,87508-9207",NA,NA
"18","030385844","12","000","000","000","PO BOX 22603",3,125732,125602,0,0,8031006901,"DENVER",10,0,0,76070,"DAVID L GIES",148878,1,0,"01",0,181413,153846,"030385844_201812_990O",8031,2018,2017,16,"010",78309,0,0,0,0,0,0,0,0,184155,0,0,NA,0,0,0,0,0,0,0,0,1,"18eoextract990.xlsx",0,0,0,39.671,0,0,"PC","O","EN","D",50165,47293,-104.9279,"D",NA,0,0,NA,813312,"COLORADO FEDERATION OF ANIMAL WELFARE AGENCIES","030385844201812","0303858442018",75567,0,2742,0,0,81472,0,0,"D","D20","D20","D","D03","BEST","EN","EN","OT",1,NA,0,0,0,0,"IN",NA,0,0,NA,108085,86440,"N",0.675135947481504,"09",0,0,0,0,0,0,0,0,0,200208,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",0,0,0,"CO",20180,"3","3",0,201812,201712,508150,184155,184155,235318,785635,0,0,0,0,0,"80222-0603","80222","PO BOX 22603,DENVER,CO,80222-0603",NA,NA
"19","030390058","12","000","000","000","PO BOX 3768",3,5856,17962,0,0,26163517200,"ESTES PARK",21,0,0,33045,NA,29651,1,0,"01",0,33152,79921,"030390058_201812_990EZ",8069,2018,2017,15,"010",11742,0,0,0,0,133432,0,0,0,66906,NA,NA,0,0,3995,0,0,0,0,0,0,1,"18eoextractez.xlsx",0,0,0,42.3361,0,0,"PC","O","AR","A",1577,6220,-83.0484,"A",NA,0,0,NA,711120,"BALLET RENAISSANCE","030390058201812","0303900582018",4279,0,33754,3995,0,-6600,0,0,"A","A63","A63","A","A26","BEST","AR","AR","AR",1,-27868,0,0,0,0,"IN",NA,0,0,NA,29866,36588,"N",0.476340028161008,"7",0,0,NA,NA,0,0,0,0,0,200209,0,0,0,0,0,0,0,NA,NA,20180,"19eoextractez.xlsx",3995,0,0,"CO",20180,"3","3",0,201812,201712,0,66906,66906,73321,0,0,0,0,0,0,"80517-3768","80517","PO BOX 3768,ESTES PARK,CO,80517-3768",NA,NA
"20","030410639","12","001","030","150","1600 BROADWAY STE 2000",3,909652,865170,0,0,8031002403,"DENVER",10,0,0,0,"STEVE SPEARS",0,1,0,"01",0,186473,198077,"030410639_201812_990O",8031,2018,2017,16,"010",575192,0,0,0,0,0,0,0,0,151592,0,0,NA,0,0,0,583995,0,0,0,0,1,"18eoextract990.xlsx",0,43,35,39.7474,0,0,"PC","O","HS","L",299579,289978,-104.9874,"L",NA,260000,260000,NA,623312,"EAGLE SENIOR VILLAGE INC","030410639201812","0304106392018",610073,0,-34881,0,0,-67358,0,0,"L","L22","L22","L",NA,"BEST","HU","HU","HU",1,NA,0,0,15166,14283,"IN",NA,0,0,NA,151549,130684,"N",0.302241311311473,"09",0,0,0,0,0,0,0,0,0,201203,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",0,0,0,"CO",20180,"3","3",177,201812,201712,0,151592,151592,130719,584172,0,0,0,0,0,"80202-4929","80202","1600 BROADWAY STE 2000,DENVER,CO,80202-4929",NA,NA
"21","030412235","12","000","000","000","PO BOX 3190",3,916730,912952,0,0,8031002403,"DENVER",10,67400,51995,277663,"MINSUN JI",304600,1,2574,"01",0,341339,283647,"030412235_201812_990O",8031,2018,2017,15,"010",508875,0,0,13858,10952,1438724,879,1398,1314,318819,0,0,NA,0,16432,0,0,49610,0,0,0,1,"18eoextract990.xlsx",2277,0,0,39.7513,2574,0,"PC","O","ED","B",397410,404077,-104.9843,"B",NA,0,0,NA,813920,"CENTRO HUMANITARIO PARA LOS TRABAJADORES","030412235201812","0304122352018",519320,0,-25973,13858,0,52469,0,0,"B","B039","B0390","B",NA,"BEST","ED","ED","ED",1,NA,9450,6549,111189,84185,"IN",NA,13987,11568,NA,12997,12701,"N",0.419812222516338,"07",0,0,0,0,0,0,0,0,0,200210,0,0,0,0,0,0,0,0,NA,20180,"19eoextract990.xlsx",16432,0,0,"CO",20180,"3","3",0,201812,201712,0,315366,315366,336116,0,0,0,0,0,0,"80201-3190","80201","PO BOX 3190,DENVER,CO,80201-3190",NA,NA
"22","030469274","08","000","000","000","2500 CURTIS ST",3,7582754,7507174,0,0,8031001600,"DENVER",10,118003,183100,37579,"KRISTEN SEUVER",32078,1,37998,"01",0,4553993,4269864,"030469274_201808_990O",8031,2018,2017,16,"010",1767878,0,0,48139,32664,0,0,0,0,4613388,0,0,NA,0,86137,0,19550879,0,0,0,0,1,"18eoextract990.xlsx",0,1827,0,39.755601,37998,0,"PC","O","HS","P",5836273,5739296,-104.983949,"P",NA,5177942,5043752,NA,624410,"MONTESSORI ACADEMY OF COLORADO","030469274201808","0304692742018",1746481,0,21397,48139,0,174128,0,0,"P","P33","P33","P","P33","IRS","HU","HU","HU",1,NA,33011,39747,2494451,2265394,"IN",NA,424502,383193,NA,4454834,4339503,"N",0.696923032416937,"09",0,0,0,0,0,0,0,0,0,200302,0,0,0,0,0,0,0,0,NA,20179,"19eoextract990.xlsx",86137,0,0,"CO",20179,"3","3",1827,201808,201708,221198,4575390,4575390,4443992,19773904,0,0,0,0,0,"80205-2632","80205","2500 CURTIS ST,DENVER,CO,80205-2632",39.7557486,-104.983321
